time,replicate,strain,OD,Empty_vector,stress
4,4,PmrR,0.281,Yes,10mM_mg
4,1,YdgU,0.242,Yes,no_mg
4,2,YdgU,0.25,Yes,no_mg
4,3,YdgU,0.235,Yes,no_mg
4,4,YdgU,0.231,Yes,no_mg
4,1,YdgU,0.292,Yes,10mM_mg
4,2,YdgU,0.282,Yes,10mM_mg
4,3,YdgU,0.275,Yes,10mM_mg
4,4,YdgU,0.281,Yes,10mM_mg
4,1,YoaI,0.242,Yes,no_mg
4,2,YoaI,0.25,Yes,no_mg
4,3,YoaI,0.235,Yes,no_mg
4,4,YoaI,0.231,Yes,no_mg
4,1,YoaI,0.292,Yes,10mM_mg
4,2,YoaI,0.282,Yes,10mM_mg
4,3,YoaI,0.275,Yes,10mM_mg
4,4,YoaI,0.281,Yes,10mM_mg
4,1,YadX,0.242,Yes,no_mg
4,2,YadX,0.25,Yes,no_mg
4,3,YadX,0.235,Yes,no_mg
4,4,YadX,0.231,Yes,no_mg
4,1,YadX,0.292,Yes,10mM_mg
4,2,YadX,0.282,Yes,10mM_mg
4,3,YadX,0.275,Yes,10mM_mg
4,4,YadX,0.281,Yes,10mM_mg
4,1,YriB,0.242,Yes,no_mg
4,2,YriB,0.25,Yes,no_mg
4,3,YriB,0.235,Yes,no_mg
4,4,YriB,0.231,Yes,no_mg
4,1,YriB,0.292,Yes,10mM_mg
4,2,YriB,0.282,Yes,10mM_mg
4,3,YriB,0.275,Yes,10mM_mg
4,4,YriB,0.281,Yes,10mM_mg
4,1,YmiA,0.242,Yes,no_mg
4,2,YmiA,0.25,Yes,no_mg
4,3,YmiA,0.235,Yes,no_mg
4,4,YmiA,0.231,Yes,no_mg
4,1,YmiA,0.292,Yes,10mM_mg
4,2,YmiA,0.282,Yes,10mM_mg
4,3,YmiA,0.275,Yes,10mM_mg
4,4,YmiA,0.281,Yes,10mM_mg
4,1,MgtT,0.242,Yes,no_mg
4,2,MgtT,0.25,Yes,no_mg
4,3,MgtT,0.235,Yes,no_mg
4,4,MgtT,0.231,Yes,no_mg
4,1,MgtT,0.292,Yes,10mM_mg
4,2,MgtT,0.282,Yes,10mM_mg
4,3,MgtT,0.275,Yes,10mM_mg
4,4,MgtT,0.281,Yes,10mM_mg
4,1,YmiC,0.242,Yes,no_mg
4,2,YmiC,0.25,Yes,no_mg
4,3,YmiC,0.235,Yes,no_mg
4,4,YmiC,0.231,Yes,no_mg
